id,run_name,passed,total
3,Codex--GLM-5.1,13,21
7,Codex--GLM-5.1,8,10
13,Codex--GLM-5.1,8,19
15,Codex--GLM-5.1,4,16
23,Codex--GLM-5.1,11,20
33,Codex--GLM-5.1,13,19
35,Codex--GLM-5.1,10,26
37,Codex--GLM-5.1,11,20
38,Codex--GLM-5.1,0,18
44,Codex--GLM-5.1,11,16
45,Codex--GLM-5.1,16,19
47,Codex--GLM-5.1,12,20
53,Codex--GLM-5.1,11,11
54,Codex--GLM-5.1,15,18
55,Codex--GLM-5.1,18,20
72,Codex--GLM-5.1,20,20
75,Codex--GLM-5.1,14,21
78,Codex--GLM-5.1,6,20
79,Codex--GLM-5.1,13,13
83,Codex--GLM-5.1,2,23
85,Codex--GLM-5.1,20,21
87,Codex--GLM-5.1,21,21
91,Codex--GLM-5.1,6,7
92,Codex--GLM-5.1,6,6
94,Codex--GLM-5.1,8,8
95,Codex--GLM-5.1,0,12
100,Codex--GLM-5.1,7,7
102,Codex--GLM-5.1,8,8
107,Codex--GLM-5.1,20,25
108,Codex--GLM-5.1,18,21
115,Codex--GLM-5.1,3,18
116,Codex--GLM-5.1,4,21
120,Codex--GLM-5.1,0,22
124,Codex--GLM-5.1,0,17
127,Codex--GLM-5.1,21,21
128,Codex--GLM-5.1,9,17
129,Codex--GLM-5.1,20,20
131,Codex--GLM-5.1,8,22
137,Codex--GLM-5.1,24,24
139,Codex--GLM-5.1,4,25
143,Codex--GLM-5.1,5,24
146,Codex--GLM-5.1,2,26
152,Codex--GLM-5.1,0,20
154,Codex--GLM-5.1,3,24
158,Codex--GLM-5.1,6,22
159,Codex--GLM-5.1,24,24
160,Codex--GLM-5.1,0,20
161,Codex--GLM-5.1,16,24
171,Codex--GLM-5.1,17,18
175,Codex--GLM-5.1,10,12
178,Codex--GLM-5.1,9,10
191,Codex--GLM-5.1,7,23
192,Codex--GLM-5.1,5,17
207,Codex--GLM-5.1,1,20
224,Codex--GLM-5.1,4,19
226,Codex--GLM-5.1,7,22
227,Codex--GLM-5.1,15,26
232,Codex--GLM-5.1,14,19
242,Codex--GLM-5.1,10,13
244,Codex--GLM-5.1,7,20
251,Codex--GLM-5.1,22,22
255,Codex--GLM-5.1,9,18
258,Codex--GLM-5.1,2,16
266,Codex--GLM-5.1,19,20
267,Codex--GLM-5.1,15,16
269,Codex--GLM-5.1,13,18
274,Codex--GLM-5.1,11,20
276,Codex--GLM-5.1,18,20
277,Codex--GLM-5.1,13,18
278,Codex--GLM-5.1,15,20
281,Codex--GLM-5.1,20,21
284,Codex--GLM-5.1,7,17
286,Codex--GLM-5.1,9,18
287,Codex--GLM-5.1,14,20
288,Codex--GLM-5.1,5,19
289,Codex--GLM-5.1,6,15
291,Codex--GLM-5.1,0,19
300,Codex--GLM-5.1,7,14
306,Codex--GLM-5.1,5,20
311,Codex--GLM-5.1,0,21
314,Codex--GLM-5.1,0,18
328,Codex--GLM-5.1,10,16
329,Codex--GLM-5.1,8,14
334,Codex--GLM-5.1,13,18
